Priority,Title,BMI Title Number,ISWC,BMI Status,Writers,Publishers,Action Required
HIGH,TOP SHELF SAME HOOD FEAT HARDWORK JIG X SADA BABY,23567394,,Reconciled,"MATTHEW THOMAS (50.00%), SORRELL CASADA AARON (SP ACCT) (25.00%), SMITH DARRIUS LEANDO (MR) (50.00%), JIG HARDWORK (50.00%)",SONY/ATV SONGS LLC (25.00%),Register with MLC using publisher admin or direct registration
HIGH,SADA BABY SMO OFFICIAL MUSIC VIDEO,24881539,T3121356438,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),LACED VISUALS (100.00%),Register with MLC using publisher admin or direct registration
HIGH,YOU KNOW WHAT IT IS,25272849,T9224092028,Reconciled,"SORRELL CASADA AARON (SP ACCT) (10.00%), PATTERSON JALEN (MR) (50.00%), SUMLER VICTOR ANTOINE MR (80.00%)","SONY/ATV SONGS LLC (10.00%), STUNTMAN BEATZ MUSIC (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,SADA BABY STACY PROD BY J PRINCE,25870290,T3121356085,Reconciled,"JOHNSON NEKEYAS CORTEZ (SP ACCT) (100.00%), SORRELL CASADA AARON (SP ACCT) (50.00%)",IPM SONGS (50.00%),Register with MLC using publisher admin or direct registration
HIGH,FAST MONEY SKUBA,26645528,T9238168337,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), MATHIS ANTHONY O NEAL (MR) (50.00%)","SONGS OF UNIVERSAL INC (37.50%), SONY/ATV SONGS LLC (50.00%), SONGS OF ROC NATION MUSIC (12.50%)",Register with MLC using publisher admin or direct registration
HIGH,ROLL ON,27063088,,Reconciled,"COAL CASH BLAC (25.00%), MAN TOODA (50.00%), KANE BWA (50.00%), SORRELL CASADA AARON (SP ACCT) (25.00%)","SONY/ATV SONGS LLC (25.00%), IPM SONGS (25.00%)",Register with MLC using publisher admin or direct registration
HIGH,PLANET OF APES SADA BABY X FMB DZ,28033282,T3121355957,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), WASHINGTON DENZEL THOMAS (50.00%)","EMPIRE STRIKES FIRST (50.00%), LACED VISUALS (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,WHY ME,28283012,T3121355822,Reconciled,"BLACK MARCUS COLEMAN (MR) (50.00%), SORRELL CASADA AARON (SP ACCT) (5.00%), BELL NICHOLAS D (90.00%)","SONY/ATV SONGS LLC (50.00%), IPM SONGS (5.00%)",Register with MLC using publisher admin or direct registration
HIGH,MY DAWG,28760119,T3121355606,Reconciled,"HELLUVA (20.00%), SORRELL CASADA AARON (SP ACCT) (45.00%), THOMAS KYREACE MICHAEL MR (90.00%)",IPM SONGS (45.00%),Register with MLC using publisher admin or direct registration
HIGH,BONNIE AND BLYDE,29653381,T9281549448,Reconciled,"MC CURTIS MARTIN RAFEAL (SP ACCT) (40.00%), SORRELL CASADA AARON (SP ACCT) (60.00%)","WARNER-TAMERLANE PUBLISHING CORP (40.00%), SONY/ATV SONGS LLC (60.00%)",Register with MLC using publisher admin or direct registration
HIGH,SADA BABY SMOKE WITH ME PROD BY LIL RON,30392366,T3121351422,Reconciled,"SORRELL CASADA AARON (SP ACCT) (12.50%), LIL RON (175.00%)",IPM SONGS (12.50%),Register with MLC using publisher admin or direct registration
HIGH,JUST MY LUCK,31367876,T9296927805,Reconciled,"PATTERSON TIMOTHY P (50.00%), MC CURTIS MARTIN RAFEAL (SP ACCT) (50.00%), SORRELL CASADA AARON (SP ACCT) (25.00%)","WARNER-TAMERLANE PUBLISHING CORP (50.00%), SONY/ATV SONGS LLC (25.00%)",Register with MLC using publisher admin or direct registration
HIGH,WAKA SADA,34084961,T3121346478,Reconciled,"COAL CASH BLAC (50.00%), MALPHURS JUAQUIN (50.00%), SORRELL CASADA AARON (SP ACCT) (50.00%)",SONY/ATV SONGS LLC (50.00%),Register with MLC using publisher admin or direct registration
HIGH,SHANG TSUNG,38466267,T3051862836,Reconciled,"COAL CASH BLAC (50.00%), SORRELL CASADA AARON (SP ACCT) (50.00%)","SONY/ATV SONGS LLC (50.00%), IPM SONGS (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,TOP SHOTTA,40043352,T9297836750,Reconciled,"MCKINNEY REGINALD CHRISTOPHER (50.00%), BRADFORD GARY STEVEN (25.00%), SORRELL CASADA AARON (SP ACCT) (25.00%)","SONY/ATV SONGS LLC (25.00%), TIMELESS SOUND ENTERTAINMENT (50.00%), WORKS OF IPC (25.00%), MS HELEN BOY MUSIC (0.00%)",Register with MLC using publisher admin or direct registration
HIGH,OOOOH,41230905,,Reconciled,"COAL CASH BLAC (50.00%), BABY SKILLA (40.00%), JUAN EASTSIDE (20.00%), SORRELL CASADA AARON (SP ACCT) (20.00%)","SONY/ATV SONGS LLC (50.00%), IPM SONGS (20.00%)",Register with MLC using publisher admin or direct registration
HIGH,TRIPLE THREAT MATCH,41389699,T9312510217,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), GORDON RAYSHAWN LAMONT (MR) (100.00%)",SONY/ATV SONGS LLC (50.00%),Register with MLC using publisher admin or direct registration
HIGH,8 LEGGED APE,41389767,T9312496767,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), GORDON RAYSHAWN LAMONT (MR) (100.00%)",SONY/ATV SONGS LLC (50.00%),Register with MLC using publisher admin or direct registration
HIGH,BROLIC,41389851,T9312500371,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), GORDON RAYSHAWN LAMONT (MR) (100.00%)",SONY/ATV SONGS LLC (50.00%),Register with MLC using publisher admin or direct registration
HIGH,HEAVY PRESS,42452382,,Reconciled,"UNKNOWN WRITER (25.00%), SORRELL CASADA AARON (SP ACCT) (25.00%), GORDON RAYSHAWN LAMONT (MR) (100.00%)","UNKNOWN PUBLISHER (25.00%), SONY/ATV SONGS LLC (25.00%)",Register with MLC using publisher admin or direct registration
HIGH,21 SKUBA,42776388,T9321718121,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,TIMELINE TOUGH GUYS,42776390,T9321718165,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,ACTING BAD,42776415,T9321719191,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,RETURN WIT MY STRAP,42776417,T9321719282,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,B4,42776422,T9321719442,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,HEART AUCTION,42776437,T9321719793,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,PERCOSEX,42776452,T9321720381,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,IN JIGS VOICE,42776493,T9321722047,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,SMOKIN ACES,42776498,T9321722241,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,DETROIT RED,42776499,T9321722274,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,BIG SQUAD,42776503,T9321722365,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,GUATEMALAN,42776509,T9321722525,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,I KNOW,42776527,T9321722956,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,MAQUEL,42776528,T9321722990,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,SMO,42776530,T9322277714,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,STICKS AND STONES,42776551,T9321723471,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,DEMONS,42776552,T9321723528,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,PROBABLY,42776555,T9321723631,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,MUTUMBO,42776567,T9321724145,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,DRIPLE DOUBLE,42776697,T9321715199,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),SONY/ATV SONGS LLC (100.00%),Register with MLC using publisher admin or direct registration
HIGH,BAW BAW,42846589,T9321821130,Reconciled,"SORRELL CASADA AARON (SP ACCT) (25.00%), GIVENS FREDRICK II (MR) (25.00%), LUELLEN JOSHUA (50.00%)","SONY/ATV SONGS LLC (25.00%), JOSHUA LUELLEN PUBLISHING (50.00%), BANG BIZ ENT PUBLISHING (25.00%)",Register with MLC using publisher admin or direct registration
HIGH,MOOD,43438473,T9323681874,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), ALVES BRANDON ALEXANDER MR (50.00%)","SONY/ATV SONGS LLC (50.00%), KNOXTHISDATWAVE PUBLISHING (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,THATS ME,44443858,T9330795921,Reconciled,"MOORMAN ESSENE SOWETO (MR) (20.00%), GREEN TARINA KATHERINE (20.00%), WHITE ANISHA NICOLE (50.00%), SORRELL CASADA AARON (SP ACCT) (10.00%), WOODS RODRIQUEZ LAMAR (20.00%)","SONY/ATV SONGS LLC (10.00%), POWER OVER RICHES (20.00%), SHOWTIMEMUSICGROUP (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,PASSION 182 BPM MP3,44522022,T3000362216,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), CHERRY BRANDON LEE (SP ACCT) (50.00%)","IPM SONGS (50.00%), MOORING MUSIC PUBLISHING (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,CONEYBPM184 MP3,44532912,T3002594136,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), CHERRY BRANDON LEE (SP ACCT) (100.00%)",IPM SONGS (50.00%),Register with MLC using publisher admin or direct registration
HIGH,THUGCRYBPM170 6 MP3,44532914,T3002594045,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), CHERRY BRANDON LEE (SP ACCT) (50.00%)","IPM SONGS (50.00%), MOORING MUSIC PUBLISHING (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,PARTYHOUSE 210BPM MP3,44532927,T3002682073,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), CHERRY BRANDON LEE (SP ACCT) (50.00%)","IPM SONGS (50.00%), MOORING MUSIC PUBLISHING (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,GOOD VIBES 142 BPM MP3,44532947,T3002682119,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), CHERRY BRANDON LEE (SP ACCT) (50.00%)","IPM SONGS (50.00%), MOORING MUSIC PUBLISHING (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,DEAD 200 BPM MP3,44765884,T3003174758,Reconciled,"SORRELL CASADA AARON (SP ACCT) (16.67%), CHERRY BRANDON LEE (SP ACCT) (50.00%), WASHINGTON DENZEL THOMAS (16.67%), HORNE MCCULLOUGH DAMARIO DONSHAY (16.66%)","EMPIRE STRIKES FIRST (33.33%), IPM SONGS (16.66%), MOORING MUSIC PUBLISHING (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,SADA BABY BLOXK VIBES,44852341,T3004844860,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), WUANBEATZ (100.00%)",SONY/ATV SONGS LLC (50.00%),Register with MLC using publisher admin or direct registration
HIGH,LET ME BREATHE,44852386,T3004914169,Reconciled,"SORRELL CASADA AARON (SP ACCT) (10.00%), GREEN DARRIN MITCHELL JR (100.00%), MITCHELL MARCEL ANTHONY (80.00%)",SONY/ATV SONGS LLC (10.00%),Register with MLC using publisher admin or direct registration
HIGH,TRAIN 190 BPM 1 MP3,44946798,T3004659687,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), CHERRY BRANDON LEE (SP ACCT) (50.00%)","IPM SONGS (50.00%), MOORING MUSIC PUBLISHING (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,ROB 186 BPM MP3,44946802,T3004658673,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), CHERRY BRANDON LEE (SP ACCT) (50.00%)","IPM SONGS (50.00%), MOORING MUSIC PUBLISHING (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,MY EYES,45025478,T3008458075,Reconciled,"UNKNOWN WRITER (100.00%), SORRELL CASADA AARON (SP ACCT) (25.00%), THOMAS GARY ALAN MR (25.00%)","SONY/ATV SONGS LLC (25.00%), MUSIC FOR GT (25.00%)",Register with MLC using publisher admin or direct registration
HIGH,SADA BABY BAPTISM,46728227,T3011602958,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), WINTONS BOBBY ALEXANDER JR MR (33.30%), BAUGH SHABAR DESHAWN (16.70%), ERVIN AKEEM L (16.65%)","SONY/ATV SONGS LLC (50.00%), DJ SHAB ENT (16.70%), KEEM MUSIC PUBLISHING (16.65%)",Register with MLC using publisher admin or direct registration
HIGH,TAP IN FEAT 42 DUGG AND SADA BABY,47904121,T3017996413,Reconciled,"HAYES MARQUISE ERICK (25.00%), TRIMBLE DEJA MONET (25.00%), DOUGLAS DERRICK TYRON (50.00%), SORRELL CASADA AARON (SP ACCT) (12.50%)","UNKNOWN PUBLISHER (50.00%), SONY/ATV SONGS LLC (12.50%), BMG GOLD SONGS (25.00%), LIL LOAF PUBLISHING (0.00%)",Register with MLC using publisher admin or direct registration
HIGH,ENTANGLEMENT,48351653,T3121296291,Reconciled,"COAL CASH BLAC (25.00%), SORRELL CASADA AARON (SP ACCT) (50.00%), GARDNER TREVON MR (50.00%)",SONY/ATV SONGS LLC (75.00%),Register with MLC using publisher admin or direct registration
HIGH,KOBE ANTHONY,48351663,T3121296224,Reconciled,"COAL CASH BLAC (25.00%), SORRELL CASADA AARON (SP ACCT) (50.00%), GARDNER TREVON MR (50.00%)",SONY/ATV SONGS LLC (75.00%),Register with MLC using publisher admin or direct registration
HIGH,WHAT ELSE,48351665,T3121296188,Reconciled,"SORRELL CASADA AARON (SP ACCT) (25.00%), GARDNER TREVON MR (75.00%)","SONY/ATV SONGS LLC (75.00%), IPM SONGS (25.00%)",Register with MLC using publisher admin or direct registration
HIGH,LTWO,48351674,T3121296133,Reconciled,"SORRELL CASADA AARON (SP ACCT) (25.00%), GARDNER TREVON MR (75.00%)","SONY/ATV SONGS LLC (75.00%), IPM SONGS (25.00%)",Register with MLC using publisher admin or direct registration
HIGH,BOOTY TALK FIFTYFIVE,48351710,T3121296053,Reconciled,"SORRELL CASADA AARON (SP ACCT) (25.00%), WHITE JOSHUA CAMRON (MR) (50.00%), GARDNER TREVON MR (25.00%)","SONY/ATV SONGS LLC (75.00%), IPM SONGS (25.00%)",Register with MLC using publisher admin or direct registration
HIGH,PLAY COUSIN,48411393,T3027028582,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), BRYANT TOUSSAINT DUVALL (75.00%)",IPM SONGS (75.00%),Register with MLC using publisher admin or direct registration
HIGH,BEEN KAME,48445566,T3121295572,Reconciled,"SORRELL CASADA AARON (SP ACCT) (25.00%), DAMJONBOI (25.00%), FRAZIER CHRISTOPHER JR (50.00%)",HIERARCHY PUBLISHING (100.00%),Register with MLC using publisher admin or direct registration
HIGH,MAN DOWN,48766560,T3031647442,Reconciled,"MC CURTIS MARTIN RAFEAL (SP ACCT) (50.00%), SORRELL CASADA AARON (SP ACCT) (25.00%), DELINCE PIERRE MR (25.00%)","WARNER-TAMERLANE PUBLISHING CORP (50.00%), IPM SONGS (25.00%), SONGS OF JACKBOY PUBLISHING LLC (25.00%)",Register with MLC using publisher admin or direct registration
HIGH,APE MODE,49758055,T3040936996,Reconciled,"MC CURTIS MARTIN RAFEAL (100.00%), SORRELL CASADA AARON (SP ACCT) (50.00%)",SONY ATV SONGS LLC (50.00%),Register with MLC using publisher admin or direct registration
HIGH,NO HELP FEAT SADA BABY,49877039,T3038737661,Reconciled,"CAZARIN LOUIE GONZALO (33.36%), SORRELL CASADA AARON (SP ACCT) (33.32%), DORRIS BYRON SCOTT SR (MR) (33.32%)","IPM SONGS (33.32%), WARNER CHAPPELL (33.32%), EMPTYSET (33.36%)",Register with MLC using publisher admin or direct registration
HIGH,BIG STEPPA FEAT SADA BABY,49901892,T3041883147,Reconciled,"PAYNE NORMAN (60.00%), SORRELL CASADA AARON (SP ACCT) (10.00%), GIVENS FREDRICK II (MR) (30.00%)","DJCHOSE PUBLISHING (60.00%), IPM SONGS (10.00%), BANG BIZ ENT PUBLISHING (30.00%)",Register with MLC using publisher admin or direct registration
HIGH,FASTLANE,50778196,T3054477220,Reconciled,"ALVARADO NELSON (25.00%), SORRELL CASADA AARON (SP ACCT) (25.00%), SALINAS MATTHEW ROBERT (50.00%)","IPM SONGS (25.00%), WORKS OF IPC (25.00%), BULLY WIZ PUBLISHING (0.00%), TRAXXFDR PUBLISHING WORLDWIDE (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,SB5,50846422,T3047347382,Reconciled,"GLOADE SAMUEL (SP ACCT) (50.00%), SORRELL CASADA AARON (SP ACCT) (25.00%), MCCOLLUM MILES PARKS (MR) (25.00%)","SONGS OF UNIVERSAL INC (12.50%), WARNER-TAMERLANE PUBLISHING CORP (50.00%), SONY ATV SONGS LLC (25.00%), EARDRUMMERS ENTERTAINMENT LLC (0.00%), BOAT BOY S PUBLISHING (12.50%)",Register with MLC using publisher admin or direct registration
HIGH,BUSINESS OWNER FEAT BAND GANGLONNIE BANDS AND SADA BABY,50856769,,Reconciled,"BANDGANG LONNIE (16.66%), MC CURTIS MARTIN RAFEAL (SP ACCT) (50.00%), SORRELL CASADA AARON (SP ACCT) (16.66%), ASBERRY DALLAS ANTONIO MR (33.36%)","UNKNOWN PUBLISHER (16.66%), WARNER-TAMERLANE PUBLISHING CORP (50.00%), SONY ATV SONGS LLC (16.68%)",Register with MLC using publisher admin or direct registration
HIGH,GTFUOMF,51976210,,Reconciled,"STRNAD STRNAD (40.00%), SORRELL CASADA AARON (SP ACCT) (30.00%), NIX DAMARIOUS EARL DARON (30.00%)","UNKNOWN PUBLISHER (40.00%), SONGTRUST BLVD (30.00%), IPM SONGS (30.00%)",Register with MLC using publisher admin or direct registration
HIGH,IN REAL LIFE,52111037,T3066380341,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), SALINAS MATTHEW ROBERT (50.00%)","IPM SONGS (50.00%), TRAXXFDR PUBLISHING WORLDWIDE (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,BLACK HARLOW REMIX,52229554,T3068213474,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), DEARBORN JORDAN (50.00%)","TUNECORE DIGITAL MUSIC (50.00%), IPM SONGS (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,FUNKY KONG REMIX,52229556,T3071749838,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), DEARBORN JORDAN (50.00%)","TUNECORE DIGITAL MUSIC (50.00%), IPM SONGS (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,SLIDE REMIX,52229558,T3071749805,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), DEARBORN JORDAN (50.00%)","TUNECORE DIGITAL MUSIC (50.00%), IPM SONGS (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,DUMBASS REMIX,52229560,T3071749758,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), DEARBORN JORDAN (50.00%)","TUNECORE DIGITAL MUSIC (50.00%), IPM SONGS (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,AKD 5V5 TED REMIX,52229561,T3071749725,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), DEARBORN JORDAN (50.00%)","TUNECORE DIGITAL MUSIC (50.00%), IPM SONGS (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,PRESSIN REMIX,52229562,T3071749736,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), DEARBORN JORDAN (50.00%)","TUNECORE DIGITAL MUSIC (50.00%), IPM SONGS (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,DIZZY,52652175,T3072262029,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), SALINAS MATTHEW ROBERT (50.00%)","IPM SONGS (50.00%), TRAXXFDR PUBLISHING WORLDWIDE (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,WAKARNOLDS,52652187,T3072261560,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), SALINAS MATTHEW ROBERT (50.00%)","IPM SONGS (50.00%), TRAXXFDR PUBLISHING WORLDWIDE (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,STREETS OF RAGE,52712159,T3117537669,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), CHERRY BRANDON LEE (SP ACCT) (50.00%)","IPM SONGS (50.00%), MOORING MUSIC PUBLISHING (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,2055,52712161,T3117537636,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), CHERRY BRANDON LEE (SP ACCT) (50.00%)","IPM SONGS (50.00%), MOORING MUSIC PUBLISHING (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,I GOT THE BOP STICK,54056827,T3090979372,Reconciled,"WALTERS RICKY M L (40.00%), SORRELL CASADA AARON (SP ACCT) (60.00%)","SONGS OF UNIVERSAL INC (40.00%), SLICK RICK MUSIC CORP (0.00%), IPM SONGS (60.00%)",Register with MLC using publisher admin or direct registration
HIGH,ONE OF THOSE FEAT SADA BABY AND SHEFF G,54156383,T3094667075,Reconciled,"WILLIAMS R J MICHAEL (15.00%), SORRELL CASADA AARON (SP ACCT) (15.00%), MILLER KHALIL MR (100.00%), DUKES ISAIAH G (MR) (20.00%)","UNKNOWN PUBLISHER (15.00%), SONY ATV SONGS LLC (15.00%), TENYOR MUSIC (20.00%)",Register with MLC using publisher admin or direct registration
HIGH,GOREY LANEZ,54516067,T3090840378,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), DJ BROWN (25.00%), MUNOZ MARLEY DAVID (25.00%), WASHINGTON BELL DONOVAN MR (25.00%)","DA REALEST SOUNDS PRODUCTIONS (25.00%), IPM SONGS (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,SADA BABY GORY LANEZ OFFICIALMUSIC VIDEO,54633019,T3091762420,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), DJ BROWN (25.00%), MUNOZ MARLEY DAVID (25.00%), WASHINGTON BELL DONOVAN MR (25.00%)","DA REALEST SOUNDS PRODUCTIONS (25.00%), IPM SONGS (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,BAD BOYZ,54724394,T3093057359,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), JOHNSON KAREEM DEVOM (100.00%)",IPM SONGS (50.00%),Register with MLC using publisher admin or direct registration
HIGH,CJ,54724433,T3092953356,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), JOHNSON KAREEM DEVOM (100.00%)",IPM SONGS (50.00%),Register with MLC using publisher admin or direct registration
HIGH,UNKLE EMANUEL,54726042,T3092947774,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), SALINAS MATTHEW ROBERT (50.00%)","IPM SONGS (50.00%), TRAXXFDR PUBLISHING WORLDWIDE (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,BLOODY LOVE,54726103,T3093051680,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), SALINAS MATTHEW ROBERT (50.00%)","IPM SONGS (50.00%), TRAXXFDR PUBLISHING WORLDWIDE (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,SKUBOP,54740248,T3092509058,Reconciled,"TEEL DAVID OBATA (50.00%), SORRELL CASADA AARON (SP ACCT) (50.00%)","IPM SONGS (50.00%), PERFECT YOUR CRAFT PUBLISHING (0.00%), WORKS OF IPC (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,WORKOUT,54921956,T3104093901,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), MASON JULIAN MARTREL (25.00%), LOTT CKYLE MICHAEL JAMES MR (25.00%)","SONY ATV SONGS LLC (51.26%), TUNECORE DIGITAL MUSIC (25.00%), LIL JU PUBLISHING (23.74%)",Register with MLC using publisher admin or direct registration
HIGH,BIG MAN FEAT SADA BABY,55760090,,Reconciled,"BERETE YAYA (35.00%), BRADLEY CE RONE MARTEK (40.00%), K5 TUNES (20.00%), SORRELL CASADA AARON (SP ACCT) (15.00%), RAY BALAM RASHAD (40.00%)","SONGS OF UNIVERSAL INC (35.00%), IPM SONGS (15.00%)",Register with MLC using publisher admin or direct registration
HIGH,1992,57152643,T3118820552,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), WUANBEATZ (100.00%)",IPM SONGS (50.00%),Register with MLC using publisher admin or direct registration
