Priority,Gap Type,ISRC,Title,Value Tier,In BMI,In SX,BMI Details,SX Details,Action Required
HIGH,NO SX,TCADJ1706302,IN JIG'S VOICE,$$$$$,YES,NO,ISWC: T9321722047,,"Claim in MLC using BMI writer data: CASADA AARON SORRELL, IP# 00816076637"
HIGH,MLC ONLY,USUYG1136607,MAQUEL,$$$$$,YES,YES,ISWC: T9321722990,"SXID: SX210Q3CO7, Eff%: 100.0","Claim in MLC using BMI writer data: CASADA AARON SORRELL, IP# 00816076637"
HIGH,MLC ONLY,ZZOPM2118136,CJ,$$$$$,YES,YES,ISWC: T3092953356,"SXID: SX211MRNNN, Eff%: 100.0","Claim in MLC using BMI writer data: CASADA AARON SORRELL, IP# 00816076637"
HIGH,NO BMI,ZZOPM2108208,GOOD WEALTHY,$$$$$,NO,YES,,"SXID: SX211J8RZG, Eff%: 100.0","Register with BMI first, then claim in MLC"
HIGH,NO SX,TCADJ1706307,DETROIT RED,$$$$$,YES,NO,ISWC: T9321722274,,"Claim in MLC using BMI writer data: CASADA AARON SORRELL, IP# 00816076637"
HIGH,MLC ONLY,ZZOPM2108202,IN REAL LIFE,$$$$$,YES,YES,ISWC: T3066380341,"SXID: SX211J8RZN, Eff%: 100.0","Claim in MLC using BMI writer data: CASADA AARON SORRELL, IP# 00816076637"
HIGH,NO SX,TCADJ1706305,BIG SQUAD,$$$$$,YES,NO,ISWC: T9321722365,,"Claim in MLC using BMI writer data: CASADA AARON SORRELL, IP# 00816076637"
HIGH,NO BMI,ZZOPM2002785,SLIVER BACK,$$$$$,NO,YES,,"SXID: SX2118KTCX, Eff%: 100.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,USUYG1232534,"GAME (FEAT. LIL DURK, TEE GRIZZLEY,",$$$$$,NO,YES,,"SXID: SX210X9BC8, Eff%: 20.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,ZZOPM2003557,KOBE ANTHONY (FEAT.,$$$$$,NO,YES,,"SXID: SX211AYBAY, Eff%: 50.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,ZZOPM2222026,REHAB,$$$$$,NO,YES,,"SXID: SX211PP2G4, Eff%: 100.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,USUYG1136609,PROBABLY (FEAT. MOTOWN TY),$$$$$,NO,YES,,"SXID: SX210Q3CO1, Eff%: 50.0","Register with BMI first, then claim in MLC"
HIGH,NO SX,TCADJ1706423,PERCOSEX,$$$$$,YES,NO,ISWC: T9321720381,,"Claim in MLC using BMI writer data: CASADA AARON SORRELL, IP# 00816076637"
HIGH,MLC ONLY,ZZOPM2222024,1992,$$$$$,YES,YES,ISWC: T3118820552,"SXID: SX211PP2G7, Eff%: 100.0","Claim in MLC using BMI writer data: CASADA AARON SORRELL, IP# 00816076637"
HIGH,NO BMI,ZZOPM2002778,KAM AND KAURI (FEAT. SKILLA BABY),$$$$$,NO,YES,,"SXID: SX2118KTD4, Eff%: 50.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,ZZOPM2002774,AUNTY STELLA,$$$$$,NO,YES,,"SXID: SX2118KTCW, Eff%: 100.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,ZZOPM2222025,UNKLE HELL YEA,$$$$$,NO,YES,,"SXID: SX211PP2G2, Eff%: 100.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,ZZOPM2002775,150/55 (FEAT. G HERBO),$$$$$,NO,YES,,"SXID: SX2118KTD2, Eff%: 50.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,ZZOPM2222025,UNKLE HELL YEA,$$$$$,NO,YES,,"SXID: SX211PP2G2, Eff%: 100.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,ZZOPM2002787,5NEM,$$$$$,NO,YES,,"SXID: SX2118KTD1, Eff%: 100.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,USUYG1136601,STACY,$$$$$,NO,YES,,"SXID: SX210Q3CNR, Eff%: 100.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,ZZOPM2002775,150/55,$$$$$,NO,YES,,"SXID: SX2118KTD2, Eff%: 50.0","Register with BMI first, then claim in MLC"
HIGH,MLC ONLY,USUYG1136612,SMO,$$$$$,YES,YES,ISWC: T9322277714,"SXID: SX210Q3CNS, Eff%: 100.0","Claim in MLC using BMI writer data: CASADA AARON SORRELL, IP# 00816076637"
HIGH,NO BMI,ZZOPM2002774,AUNTY STELLA,$$$$$,NO,YES,,"SXID: SX2118KTCW, Eff%: 100.0","Register with BMI first, then claim in MLC"
